epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.7146118879318237,0.5723509192466736,0.5,0.7557004690170288,9.999999747378752e-05
1,0.9029680490493774,0.33599334955215454,1.0,0.19463413953781128,9.999999747378752e-05
2,0.9646118879318237,0.21381647884845734,1.0,0.07192466408014297,9.999999747378752e-05
3,0.9805936217308044,0.1345847100019455,1.0,0.04843703284859657,9.999999747378752e-05
4,0.9942922592163086,0.08859993517398834,0.914893627166748,0.10738200694322586,9.999999747378752e-05
5,0.990867555141449,0.062429919838905334,0.9946808218955994,0.02671528421342373,9.999999747378752e-05
6,0.9954338073730469,0.05080357939004898,1.0,0.022104136645793915,9.999999747378752e-05
7,0.9954338073730469,0.042443111538887024,1.0,0.013963292352855206,9.999999747378752e-05
8,0.9920091032981873,0.04167860373854637,0.936170220375061,0.14018912613391876,9.999999747378752e-05
9,0.9954338073730469,0.03519672155380249,1.0,0.014706114307045937,9.999999747378752e-05
10,0.9965753555297852,0.032909050583839417,0.9840425252914429,0.041405607014894485,9.999999747378752e-05
11,0.9954338073730469,0.03205379843711853,0.9521276354789734,0.09921491891145706,1.9999999494757503e-05
12,0.9965753555297852,0.02602754533290863,0.9946808218955994,0.02089967578649521,1.9999999494757503e-05
